Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Footnote_ukr
2019,Slovakia, ,SVK,,STA,Figure from the 2011 census. It includes 63 stateless persons who held permits to stay in Slovakia at the end of 2011. No updated data on the number of stateless persons was available at the time of reporting.,"Цифра з перепису 2011 року. До нього входять 63 особи без громадянства, які мали дозвіл на перебування в Словаччині наприкінці 2011 року. На момент складання звіту оновлених даних про кількість осіб без громадянства не було."
2018,Nauru, ,NRU,,ASY,Decisions during 2018 are not available.,Рішення протягом 2018 року відсутні.
2022,Monaco, ,MCO,,"REF,ASY,IDP,STA,OOC,HST,OIP",Data is as of end-2019.,Дані станом на кінець 2019 року.
2024,Finland, ,FIN,,REF,"With regards to refugee statistics, official statistics on the size of the refugee population are not available. UNHCR refugee population estimates are based on the cumulative number of recognized asylum-seekers over the past 10 years, plus the reported number of beneficiaries of Temporary Protection in the country by end-2024.","Що стосується статистики біженців, офіційна статистика щодо чисельності біженців недоступна. Оцінки УВКБ ООН щодо кількості біженців базуються на загальній кількості визнаних шукачів притулку за останні 10 років, а також на повідомленій кількості бенефіціарів тимчасового захисту в країні до кінця 2024 року."
2022,Myanmar, ,MMR,,STA,"The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State, including stateless Rohingya IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless persons remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State, increasing to 630,000 due to additional displacement in 2022 (including an estimated 156,600 of those Rohingya who have been internally displaced).","Орієнтовна кількість осіб, яких стосується особа без громадянства, стосується осіб без громадянства етнічної приналежності рохінджа в штаті Ракхайн, включаючи ВПО без громадянства рохінджа в М’янмі. Кількість осіб невизначеного громадянства, які проживають в інших штатах або регіонах М’янми, наразі недоступна. Кількість осіб без громадянства, які залишилися в штаті Ракхайн після насильства в 2016 і 2017 роках і великомасштабних виїздів до Бангладеш, ґрунтується на детальних оцінках для кожного сільського масиву, зроблених УВКБ ООН, іншими агентствами ООН і неурядовими організаціями на початку 2018 року, які дійшли висновку, що від 532 000 до 600 000 рохінджа залишилися в штаті Ракхайн, збільшившись до 630 000 через до додаткового переміщення у 2022 році (включаючи, за оцінками, 156 600 рохінджа, які були внутрішньо переміщеними особами)."
2024 - 2025,Cambodia, ,KHM,,STA,The figure is based on an estimate of ethnic Vietnamese persons whose legal identity documents were withdrawn and whose nationality is undetermined.,"Ця цифра базується на оцінці етнічних в’єтнамців, у яких вилучено офіційні документи, що посвідчують особу, і громадянство яких не визначено."
2018,Latvia, ,LVA,,STA,"This figure includes persons of concern who fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).","Ця цифра включає осіб, які підпадають під дію закону Латвії від 25 квітня 1995 року про статус громадян колишнього СРСР, які не є громадянами Латвії чи будь-якої іншої держави («негромадяни»). У конкретному контексті Латвії «негромадяни» користуються правом проживати в Латвії ex lege та низкою прав і обов’язків, які загалом окрім прав, передбачених Конвенцією про статус осіб без громадянства 1954 року, включаючи захист від видворення, і як такі «негромадяни» наразі можуть вважатися особами, до яких Конвенція не застосовується відповідно до статті 1.2(ii)."
2023,Iran (Islamic Rep. of), ,IRN,,STA,Stateless refugees from Myanmar of Rohingya ethnicity in Iran have been resettled in 2023. No estimates of the entire stateless population in the Islamic Rep. of Iran is available.,Біженці без громадянства з М’янми з етнічної приналежності до рохінджа в Ірані були переселені в 2023 році. Оцінки всього населення без громадянства в Ісламській Республіці Іран відсутні.
2022,Australia, ,AUS,,REF,The methodology for estimating the number of refugees in Australia is under review and subject to adjustment in future reports.,Методологія оцінки кількості біженців в Австралії переглядається та може бути скоригована в наступних звітах.
2023,Brazil, ,BRA,,REF,"Brazil reported 95,800 people in a refugee-like situation, primarily Haitian nationals (87,400), who have been granted a humanitarian residency permit.","Бразилія повідомила про 95 800 осіб у ситуації, подібній до біженців, переважно громадян Гаїті (87 400), які отримали гуманітарний дозвіл на проживання."
2019,Dem. Rep. of the Congo, ,COD,,"IDP,OOC","The figure of IDP returns was released by the ""Commissions de mouvements de population” and covers the period from April 2018 to September 2019.",Дані про повернення ВПО були оприлюднені «Commissions de mouvements de population» і охоплюють період з квітня 2018 року по вересень 2019 року.
2018,Myanmar,Myanmar,MMR,MMR,IDP,"IDP figure in Myanmar includes 120,000 persons in an IDP-like situation.","Цифра внутрішньо переміщених осіб у М’янмі включає 120 000 осіб у ситуації, схожій на ВПО."
2024,Indonesia, ,IDN,,STA,"The total statelessness figure reported relates to 2,642 stateless persons who are also counted as refugees or asylum-seekers. There are indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.","Зазначена загальна кількість осіб без громадянства стосується 2642 осіб без громадянства, які також вважаються біженцями або шукачами притулку. Є ознаки того, що існує потенційно значна кількість непереміщених осіб без громадянства, щодо яких немає даних."
2021,Croatia, ,HRV,,STA,Figure from the 2011 census. It includes 21 persons registered as stateless by the Government of Croatia.,"Цифра з перепису 2011 року. До нього входить 21 особа, зареєстрована урядом Хорватії як особи без громадянства."
2021,Turkmenistan, ,TKM,,STA,"In the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. The increase in the reported figure is due to the identification of new persons in stateless situations.","За відсутності офіційних даних наведена цифра стосується осіб без громадянства та осіб з невизначеним громадянством, визначених партнерськими організаціями УВКБ ООН у Туркменістані. Зростання зазначеної цифри пов’язане з виявленням нових осіб без громадянства."
2024,Jordan,Iraq,JOR,IRQ,REF,"The refugee population in Jordan includes 25,710 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.","Біженці в Йорданії включають 25 710 іракців, зареєстрованих УВКБ ООН. На кінець березня 2015 року уряд Йорданії оцінив чисельність іракців у 400 000 осіб. Це включає біженців та інші категорії іракців."
2024 - 2025,Albania, ,ALB,,STA,"From various sources such as civil status offices, health institutions, schools, municipal child protection units, and social services, UNHCR estimates the number of people with undetermined nationality (at risk of statelessness) in Albania.","З різних джерел, таких як відділи цивільного стану, заклади охорони здоров’я, школи, муніципальні відділи захисту дітей та соціальні служби, УВКБ ООН оцінює кількість людей з невизначеним громадянством (під загрозою втрати громадянства) в Албанії."
2023,Russian Federation, ,RUS,,STA,"According to the results of the 2020 All-Russia Census finalized at end 2022, some 91,173 persons declared themselves stateless of whom 2,988 persons obtained Russian citizenship in 2023.","За результатами Всеросійського перепису населення 2020 року, завершеного наприкінці 2022 року, близько 91 173 особи оголосили себе без громадянства, з них 2 988 осіб отримали російське громадянство в 2023 році."
2022,Netherlands (Kingdom of the), ,NLD,,REF,The number of refugees will be re-estimated based on the data received from from the government as of start 2022.,"Кількість біженців буде переоцінена на основі даних, отриманих від уряду, починаючи з 2022 року."
2018,Russian Federation, ,RUS,,STA,The statelessness figure refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011-2018.,"Показник безгромадянства стосується даних перепису 2010 року, скоригованих для відображення кількості осіб без громадянства, які отримали громадянство у 2011-2018 роках."
2018, , ,,,REF,"Since 2007, people in refugee-like situations are included in the refugee estimates. Figures as from 2007 are not fully comparable with previous years","З 2007 року люди, які перебувають у ситуаціях, схожих на біженців, включаються в оцінку кількості біженців. Цифри, починаючи з 2007 року, не можна повністю порівняти з попередніми роками"
2025,Spain, ,ESP,,STA,"The figures for stateless individuals in Spain represent the 10,628 individuals recognized through the Spanish statelessness determination procedure, as well as 51 stateless refugees and 15 stateless asylum-seekers. Source: Permanent Observatory on Immigration, Spanish Ministry of Inclusion, Social Security and Migration.","Цифри щодо осіб без громадянства в Іспанії представляють собою 10 628 осіб, визнаних через процедуру визначення безгромадянства в Іспанії, а також 51 біженця без громадянства та 15 осіб без громадянства, які шукають притулку. Джерело: Постійна обсерваторія з імміграції, Міністерство інтеграції, соціального забезпечення та міграції Іспанії."
2024 - 2025,Algeria,Western Sahara,DZA,ESH,REF,"UNHCR uses the number 90,000 to refer to the ‘most vulnerable refugees’ recognizing that assistance figures may need to be calculated differently. Based on an interagency study conducted in 2018, the Inter Sector Working Group, like the host Government, estimates that 173,600 people live in the camps. UN agencies use different points of reference for the population living in the camps. For the purposes of the SRRP, the higher 173,600 number will be used as a planning figure to ensure humanitarian assistance is comprehensive. See https://algeria.un.org/sites/default/files/2024-01/SRRP%20-%20English.pdf.","УВКБ ООН використовує число 90 000 для позначення «найбільш уразливих біженців», усвідомлюючи, що цифри допомоги, можливо, доведеться обчислювати по-іншому. На підставі міжвідомчого дослідження, проведеного у 2018 році, Міжгалузева робоча група, як і уряд приймаючої країни, вважає, що в таборах проживає 173 600 осіб. Агентства ООН використовують різні орієнтири для населення, яке проживає в таборах. Для цілей SRRP більша цифра 173 600 буде використана як планова цифра для забезпечення всебічного характеру гуманітарної допомоги. Див. https://algeria.un.org/sites/default/files/2024-01/SRRP%20-%20English.pdf."
2022 - 2025,Chile, ,CHL,,OIP,The number of other people in need of international protection is estimated from the Regional Refugee and Migrant Response Plan.,"Кількість інших людей, які потребують міжнародного захисту, оцінюється в Регіональному плані реагування на біженців і мігрантів."
2018,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,Figure refers to persons who have been recognized as stateless through the statelessness determination procedure in 2013 - 2018.,"Цифра стосується осіб, які були визнані особами без громадянства в порядку визначення безгромадянства у 2013-2018 роках."
2018,Myanmar, ,MMR,,STA,"The figure reported under “Stateless people including displaced Rohingya population from Myanmar”  relates to stateless persons in Rakhine state and persons of undetermined nationality residing in other states in Myanmar. This figure includes stateless IDPs who are also of concern under the statelessness mandate.The number of remaining stateless persons residing in northern Rakhine after the violence of 2016 and 2017 and the large scale departures to Bangladesh was uncertain as no comprehensive data was available and access had been severely constrained. The numbers of remaining Rohingya population in Rakhine State was estimated based on the outcome of a very thorough, village tract by village tract, exercise conducted by UNHCR and the Maungdaw Inter-Agency Group members (a group composed of all UN and NGOs operational in northern Rakhine State) in early 2018. The outcome of this exercise enabled UNHCR to conclude that between 532,000 to 600,000 stateless persons remain in Rakhine State (inclusive of both displaced and non-displaced stateless), among which between 200,000 and 240,000 are in the three northern townships. For the purpose of the UNHCR’s Global Trend Report the higher range of this estimate has been used. Outside of Rakhine state, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, and whose Myanmar citizenship has not yet been confirmed.","Цифра, наведена в розділі «Люди без громадянства, включаючи переміщене населення Рохінджа з М’янми», стосується осіб без громадянства в штаті Ракхайн та осіб невизначеного громадянства, які проживають в інших штатах М’янми. Ця цифра включає ВПО без громадянства, які також викликають занепокоєння згідно з мандатом щодо безгромадянства. Кількість осіб без громадянства, які залишилися проживати на півночі Ракхайну після насильства 2016 і 2017 років і великомасштабних виїздів до Бангладеш, була невизначеною, оскільки не було доступних вичерпних даних і доступ був сильно обмежений. Чисельність рохінджа, що залишилася в штаті Ракхайн, була оцінена на основі результатів дуже ретельного аналізу села за селом, проведеного УВКБ ООН та членами міжвідомчої групи Маунгдо (група, що складається з усіх організацій ООН і НУО, що діють у північному штаті Ракхайн) на початку 2018 року. Результати цього навчання дозволили УВКБ ООН зробити висновок, що між У штаті Ракхайн залишається від 532 000 до 600 000 осіб без громадянства (включаючи як переміщених, так і непереміщених осіб без громадянства), серед яких від 200 000 до 240 000 проживають у трьох північних містечках. Для цілей Звіту про глобальні тенденції УВКБ ООН використовувався вищий діапазон цієї оцінки. За межами штату Ракхайн цифра осіб із невизначеним громадянством (25 939) базується на урядових даних, оприлюднених 27 грудня 2016 року, із зазначенням кількості осіб, які мають посвідчення особи для національної перевірки та чиє громадянство М’янми ще не підтверджено."
2024,Egypt,Sudan,EGY,SDN,ASY,"As of December 2024, 930,000 Sudanese were registered by UNHCR in Egypt as asylum-seekers.The Government of Egypt reported 1.5 million Sudanese people having arrived in the country since the onset of the crisis. See also the Sudan Situation on the Operational Data Portal.","Станом на грудень 2024 року УВКБ ООН зареєструвало 930 000 суданців у Єгипті як шукачів притулку. Уряд Єгипту повідомив про 1,5 мільйона суданців, які прибули до країни з початку кризи. Дивіться також ситуацію в Судані на порталі оперативних даних."
2023,Netherlands (Kingdom of the), ,NLD,,REF,"The number of refugees is based on the data on refugee and temporary protection status holders, as provided by the government.","Кількість біженців базується на наданих урядом даних щодо осіб, які мають статус біженця та тимчасового захисту."
2025,Australia, ,AUS,,STA,"Stateless figures in Australia are sourced from the Government. They consist of figures on stateless persons held in detention and those that have been issued or are in an application process for an “Onshore Humanitarian Visa” and have self-reported to be stateless. Australia does not have a separate statelessness status determination procedure and only provides statistics on humanitarian visas. Due to this, the figure reported here does not capture all stateless persons in Australia and is not an estimate of statelessness in Australia. Figures for stateless persons in detention come from the Australian Government Department of Home Affairs and Australian Border Force report on Immigration Detention and Community Statistics Summary 31 December 2024. As updated data for some stateless populations were not yet available, some of the figures only reflect information received until February 2025.","Особи без громадянства в Австралії надаються урядом. Вони складаються з даних про осіб без громадянства, які утримуються під вартою, і тих, хто отримав або перебуває в процесі подачі заявки на отримання «берегової гуманітарної візи» і які самі повідомили, що є особами без громадянства. В Австралії немає окремої процедури визначення статусу особи без громадянства, і надається лише статистика щодо гуманітарних віз. Через це наведена тут цифра не охоплює всіх осіб без громадянства в Австралії та не є оцінкою безгромадянства в Австралії. Дані щодо осіб без громадянства, які перебувають під вартою, взяті зі звіту Міністерства внутрішніх справ уряду Австралії та Прикордонної служби Австралії про зведення імміграційних затримань і статистики громади від 31 грудня 2024 року. Оскільки оновлені дані щодо деяких осіб без громадянства ще не були доступні, деякі цифри відображають лише інформацію, отриману до лютого 2025 року."
2024,Canada, ,CAN,,REF,End-year stock refers to protected persons who are yet to acquire permanent resident status.,"Запас на кінець року відноситься до захищених осіб, які ще не набули статусу постійного резидента."
2023,Papua New Guinea, ,PNG,,STA,No estimations for the non-displaced stateless population for the country are available.,Оцінки непереміщеного населення без громадянства для країни відсутні.
2024,New Zealand, ,NZL,,REF,"As no government figures for the refugee population in the country is available, UNHCR estimates the number of refugees by assuming that it is the sum of all asylum-seekers recognized during the last ten years on a rolling basis.","Оскільки державні дані щодо кількості біженців у країні відсутні, УВКБ ООН оцінює кількість біженців, припускаючи, що це сума всіх шукачів притулку, визнаних протягом останніх десяти років на постійній основі."
2025,Denmark, ,DNK,,REF,"Since 2024, the number of refugees in Denmark are based on data reported by authorities of persons with valid residence permits for asylum provided by Statistics Denmark as well as temporary protection holders provided by the Danish Immigration Service. The figures replace previous refugee stock estimations conducted by UNHCR.","З 2024 року кількість біженців у Данії базується на даних, наданих органами влади щодо осіб, які мають дійсний дозвіл на проживання для отримання притулку, наданих Статистичним управлінням Данії, а також тих, хто має тимчасовий захист, наданий Імміграційною службою Данії. Цифри замінюють попередні оцінки кількості біженців, проведені УВКБ ООН."
2021 - 2022, , ,,,HST,"Host community refers to a community that hosts large populations of refugees or internally displaced persons, whether in camps, integrated into households, or independently. UNHCR reports on host communities in countries with substantive programmes focusing on sharing the burden of hosting large refugee populations, as set out in the Global Compact on Refugees.","Приймаюча громада означає громаду, яка приймає велику кількість біженців або внутрішньо переміщених осіб у таборах, у сім’ях чи самостійно. УВКБ ООН звітує про приймаючі громади в країнах із суттєвими програмами, спрямованими на розподіл тягаря прийому великих груп біженців, як зазначено в Глобальному договорі про біженців."
2018,Tajikistan, ,TJK,,STA,Figure based on a registration exercise in three regions and 769 people registered as stateless by the Ministry of Internal Affairs of Tajikistan.,"Цифра заснована на реєстрації в трьох регіонах і 769 осіб, зареєстрованих як особи без громадянства Міністерством внутрішніх справ Таджикистану."
2021 - 2025,Dem. Rep. of the Congo, ,COD,,"ASY,REF","The 2014 ministerial declaration that offered Prima Facie refugee status to persons fleeing generalised violence from Central African Republic from January 2013 onwards is no longer applicable. As such, all refugees are assessed on an individual basis by the National Commission for Refugees.","Міністерська декларація 2014 року, яка пропонувала статус біженця Prima Facie особам, які тікали від загального насильства з Центральноафриканської Республіки з січня 2013 року, більше не застосовується. Таким чином, усі біженці оцінюються на індивідуальній основі Національною комісією у справах біженців."
2020,Greece, ,GRC,,STA,Figure based on the 2011 census. Census figures were adjusted to include people registered as stateless by the Ministry of Interior from 2012 to 2020.,"Цифра за переписом 2011 року. Дані перепису були скориговані з урахуванням осіб, зареєстрованих Міністерством внутрішніх справ як особи без громадянства з 2012 по 2020 рік."
2024,Ireland, ,IRL,,STA,"Ireland does not have a Statelessness Determination Procedure. Due to the lack of reliable data on potential cases of statelessness, the extent of statelessness in Ireland cannot be identified accurately. Therefore, the only data about stateless persons included is data pertaining to stateless refugees and stateless asylum seekers at year-end as reported by Irish authorities.","В Ірландії немає процедури визначення особи без громадянства. Через відсутність достовірних даних про потенційні випадки безгромадянства неможливо точно визначити масштаби безгромадянства в Ірландії. Таким чином, єдині дані про осіб без громадянства включені дані, що стосуються біженців без громадянства та шукачів притулку без громадянства на кінець року, як повідомили органи влади Ірландії."
2021 - 2022,Australia, ,AUS,,STA,"Stateless figures in Australia are sourced from the Government. They consist of figures on stateless persons held in detention and those that have been issued or are in an application process for an “Onshore Humanitarian Visa” and have self-reported to be stateless. Australia does not have a separate statelessness status determination procedure and only provides statistics on humanitarian visas. Due to this, the figure reported here does not capture all stateless persons in Australia and is not an estimate of statelessness in Australia. Figures for stateless persons in detention come from the Australian Government Department of Home Affairs and Australian Border Force report on Immigration Detention and Community Statistics Summary 31 January 2022.","Особи без громадянства в Австралії надаються урядом. Вони складаються з даних про осіб без громадянства, які утримуються під вартою, і тих, хто отримав або перебуває в процесі подачі заявки на отримання «берегової гуманітарної візи» і які самі повідомили, що є особами без громадянства. В Австралії немає окремої процедури визначення статусу особи без громадянства, і надається лише статистика щодо гуманітарних віз. Через це наведена тут цифра не охоплює всіх осіб без громадянства в Австралії та не є оцінкою безгромадянства в Австралії. Дані щодо осіб без громадянства, які перебувають під вартою, взято зі звіту Департаменту внутрішніх справ уряду Австралії та Австралійських прикордонних служб про імміграційне затримання та підсумкову статистику громади від 31 січня 2022 року."
2023,Philippines, ,PHL,,STA,"In discussion with the national governments of the Philippines and Indonesia, it was concluded that remaining cases concerning persons of undetermined nationality of Indonesian descent, could be closed . The total statelessness figure reported also includes 10 stateless persons of Rohingya ethnicity who are also counted as refugee or asylum-seeker from Myanmar, mainly from Rakhine State.","У ході обговорення з національними урядами Філіппін та Індонезії було зроблено висновок, що інші справи щодо осіб невизначеного громадянства індонезійського походження можуть бути закриті. Повідомлена загальна кількість осіб без громадянства також включає 10 осіб без громадянства етнічної приналежності рохінджа, які також вважаються біженцями або шукачами притулку з М’янми, переважно зі штату Ракхайн."
2021,Latvia, ,LVA,,STA,"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 164 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 195,190 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).","Стосовно осіб, які підпадають під мандат УВКБ ООН щодо осіб без громадянства, ця цифра включає осіб, які підпадають під дію двох окремих законів Латвії. 164 особи підпадають під дію Закону Латвійської Республіки про осіб без громадянства від 17 лютого 2004 року. 195 190 осіб підпадають під дію Закону Латвії від 25 квітня 1995 року про статус громадян колишнього СРСР, які не є громадянами Латвії чи будь-якої іншої держави («негромадяни»). У конкретному контексті Латвії «негромадяни» користуються правом проживати в Латвії ex lege та низкою прав і обов’язків, які загалом окрім прав, передбачених Конвенцією про статус осіб без громадянства 1954 року, включаючи захист від видворення, і як такі «негромадяни» наразі можуть вважатися особами, до яких Конвенція не застосовується відповідно до статті 1.2(ii)."
2024,Montenegro, ,MNE,,STA,"In November 2017, jointly with the Ministry of the Interior of Montenegro (MoI) and the Ministry of Labor and Social Welfare, UNHCR carried out a field verification of all ex-Yugoslav refugees with unresolved legal status and persons at risk of statelessness, known to UNHCR at that time. The field exercise covered 2,318 individuals (including 42% children) in 20 out of 23 municipalities of Montenegro. Based on the verification results, in 2018 UNHCR reported at least 605 persons at risk of statelessness (145 at risk of statelessness and 460 in a statelessness like situation). In 2024, the number decreased by 60. However, an additional 67 persons at risk of statelessness were later identified, bringing the total to 413 persons at risk of statelessness by the end of 2024. In 2018, Montenegro introduced a formal statelessness determination procedure. By the end of December 2024, 10 persons had been officially recognized as stateless persons through this procedure.","У листопаді 2017 року спільно з Міністерством внутрішніх справ Чорногорії (МВС) та Міністерством праці та соціального забезпечення УВКБ ООН провело польову перевірку всіх біженців з колишньої Югославії з невирішеним правовим статусом та осіб, яким загрожує особа без громадянства, відомих УВКБ ООН на той час. Польове навчання охопило 2318 осіб (включаючи 42% дітей) у 20 із 23 муніципалітетів Чорногорії. За результатами верифікації, у 2018 році УВКБ ООН повідомило про щонайменше 605 осіб, які перебувають у групі ризику безгромадянства (145 у групі ризику без громадянства та 460 у ситуації, подібній до безгромадянства). У 2024 році їх кількість зменшилася на 60. Однак пізніше було ідентифіковано ще 67 осіб, яким загрожує безгромадянства, і до кінця 2024 року загальна кількість осіб, яким загрожує безгромадянства, становила 413. У 2018 році Чорногорія запровадила офіційну процедуру визначення безгромадянства. Станом на кінець грудня 2024 року за цією процедурою особами без громадянства офіційно визнано 10 осіб."
2019 - 2021,Myanmar, ,MMR,,STA,"The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State and also includes stateless IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless persons remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State (including an estimated 140,886 of those Rohingya who have been internally displaced). For the purposes of this report, the higher range of this estimate has been used.","Орієнтовна кількість осіб, яких стосується особа без громадянства, стосується осіб без громадянства етнічної приналежності до рохінджа в штаті Ракхайн, а також включає ВПО без громадянства в М’янмі. Кількість осіб невизначеного громадянства, які проживають в інших штатах або регіонах М’янми, наразі недоступна. Кількість осіб без громадянства, які залишилися в штаті Ракхайн після насильства в 2016 і 2017 роках і великомасштабних виїздів до Бангладеш, базується на детальних оцінках для кожного сільського масиву, зроблених УВКБ ООН, іншими агентствами ООН і неурядовими організаціями на початку 2018 року, згідно з якими від 532 000 до 600 000 рохінджа залишилися в штаті Ракхайн (включаючи приблизно 140 886 рохінджа, які були внутрішньо переміщеними особами). Для цілей цього звіту використовувався вищий діапазон цієї оцінки."
2023,Bulgaria, ,BGR,,REF,"No official data on the actual number of refugees residing in Bulgaria is available. The estimate includes 68,300 Ukrainians who received temporary protection, and 29,400 other refugees.","Офіційних даних про фактичну кількість біженців, які проживають у Болгарії, немає. Оцінка включає 68 300 українців, які отримали тимчасовий захист, та 29 400 інших біженців."
2022 - 2025,Argentina, ,ARG,,STA,The figure is reported by the Government.,Цю цифру повідомляє Уряд.
2020,Philippines, ,PHL,,STA,"The updated figure is based on improved information concerning persons of Indonesian descent who have acquired nationality. The total statelessness figure reported also includes 1 stateless person of Rohingya ethnicity who is also counted as refugee or asylum-seeker from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach is being used for the Philippines for the first time in 2020.","Оновлена ​​цифра базується на покращенні інформації щодо осіб індонезійського походження, які отримали громадянство. Повідомлена загальна кількість осіб без громадянства також включає 1 особу без громадянства етнічної приналежності до рохінджа, яка також вважається біженцем або шукачем притулку з М’янми, переважно зі штату Ракхайн. Статистична звітність УВКБ ООН, як правило, дотримується методології, яка повідомляє лише про один правовий статус для кожної відповідної особи. Однак через чисельність рохінджа без громадянства, переміщеного з М’янми, УВКБ ООН вважає важливим відобразити подвійний статус цієї групи населення як переміщених осіб, так і осіб без громадянства. Цей підхід вперше використовується для Філіппін у 2020 році."
2024,Kyrgyzstan, ,KGZ,,STA,59 persons were naturalized or granted citizenship in 2023. Since December 2021 the data on number of staleless persons is provided by the Government.,У 2023 році натуралізовано чи надано громадянство 59 особам. З грудня 2021 року дані про кількість осіб без старості надає Уряд.
